Date,Close,High,Low,Open,Volume,MA50,MA200,Daily_Return,Volatility_30d,Volatility_Annualized,MA20,BB_Upper,BB_Lower
2021-02-16,3932.590087890625,3950.429931640625,3923.85009765625,3939.610107421875,5058990000,3775.119814453125,3407.213955078125,-0.0005692724183511411,0.009593866336272903,0.15229790662423484,3850.6040161132814,3975.0456472238534,3726.1623850027095
2021-02-17,3931.330078125,3933.610107421875,3900.429931640625,3918.5,4730650000,3780.4120166015623,3412.7170556640626,-0.0003204020092266724,0.00909558642938408,0.14438795832266538,3857.2250244140623,3984.152131186502,3730.2979176416225
2021-02-18,3913.969970703125,3921.97998046875,3885.030029296875,3915.860107421875,4793650000,3784.709013671875,3418.073205566406,-0.004415835627354592,0.00911878386894085,0.14475620625938937,3860.331018066406,3989.7206660050706,3730.9413701277417
2021-02-19,3906.7099609375,3930.409912109375,3903.070068359375,3921.159912109375,4845320000,3789.004013671875,3423.2645556640623,-0.0018548966445751658,0.009107936010536938,0.144584001845823,3863.0130126953127,3993.983003446458,3732.0430219441673
2021-02-22,3876.5,3902.919921875,3874.7099609375,3885.550048828125,5917100000,3792.489013671875,3428.4049560546873,-0.0077328394581538396,0.008890663033746955,0.14113490026661699,3864.764514160156,3995.4580881076795,3734.0709402126326
2021-02-23,3881.3701171875,3895.97998046875,3805.590087890625,3857.070068359375,6296610000,3796.6600146484375,3433.405856933594,0.0012563181187927874,0.00884495943807915,0.14040937817766622,3866.0650146484377,3996.8821436922344,3735.247885604641
2021-02-24,3925.429931640625,3928.64990234375,3859.60009765625,3873.7099609375,6012790000,3801.806611328125,3438.3840063476564,0.01135161376597904,0.008953989103386122,0.14214017045725133,3869.855505371094,4003.0381881889034,3736.6728225532843
2021-02-25,3829.340087890625,3925.02001953125,3814.0400390625,3915.800048828125,6547470000,3805.1242138671873,3442.879757080078,-0.02447880752512621,0.010101994990051176,0.16036419893577494,3873.7840087890627,3996.3918230810386,3751.1761944970867
2021-02-26,3811.14990234375,3861.080078125,3789.5400390625,3839.659912109375,6526070000,3808.397412109375,3447.5849060058595,-0.004750214169902844,0.010135892347930752,0.16090230281008405,3874.972509765625,3994.475268341068,3755.4697511901823
2021-03-01,3901.820068359375,3914.5,3842.510009765625,3842.510009765625,5114820000,3812.5414111328123,3452.994006347656,0.023790763506800205,0.010989952669155612,0.17446009009773755,3884.351513671875,3977.213441161341,3791.4895861824093
2021-03-02,3870.2900390625,3906.409912109375,3868.570068359375,3903.639892578125,5536010000,3815.9238134765624,3458.0829565429685,-0.008080851690870694,0.011013964728661075,0.1748412697252452,3889.1730102539063,3966.6126860882455,3811.733334419567
2021-03-03,3819.719970703125,3874.469970703125,3818.860107421875,3863.989990234375,6173660000,3817.86861328125,3462.863056640625,-0.01306622187199813,0.01121534423850358,0.1780380703383693,3888.843505859375,3967.4566073077117,3810.2304044110383
2021-03-04,3768.469970703125,3843.669921875,3723.340087890625,3818.530029296875,7195400000,3819.049814453125,3466.9358569335936,-0.013417213930100202,0.011175580262871694,0.17740683679440208,3885.758508300781,3977.767601646021,3793.7494149555414
2021-03-05,3841.93994140625,3851.68994140625,3730.18994140625,3793.580078125,6851070000,3821.99021484375,3471.530856933594,0.01949596819778221,0.011766835332103433,0.18679272004196285,3884.268505859375,3978.178982587751,3790.3580291309995
2021-03-08,3821.35009765625,3881.06005859375,3819.25,3844.389892578125,5871710000,3824.6720166015625,3475.7795568847655,-0.005359231030161227,0.011795133183519569,0.18724193450687016,3880.9945068359375,3979.005115105118,3782.983898566757
