Date,Open,High,Low,Close,Volume,MA50,MA200,Daily_Return,Volatility_30d,Volatility_Annualized,MA20,BB_Upper,BB_Lower
2020-09-24,207.3057760769813,211.99557586507584,206.4225012813742,209.632243347168,336617300,219.86961782836912,181.84910420989988,0.005479968295577509,0.025215169974260616,0.40027841410869913,224.40687049865724,250.54025066631033,198.27349033100415
2020-09-25,210.2816930866868,215.0951490926792,207.575772271604,214.3486129760742,294732100,219.81279888916015,182.20946669006346,0.022498302520645774,0.02551185748906259,0.4049881823962821,223.22072242736812,248.8920657456193,197.54937910911693
2020-09-28,217.9009578376852,218.8508823681744,213.7379907263036,217.8056610107422,276540200,219.9663050842285,182.5788258895874,0.01612815677540147,0.025684270456653443,0.4077251534065703,222.22250267028807,247.05052502412866,197.39448031644747
2020-09-29,217.7583619582797,220.57123354515176,216.2657778434313,218.9723876953125,224855900,220.02778787231446,182.95903097534182,0.005356732598941871,0.025699668096934476,0.40796958336833533,221.16966079711915,244.56268790884374,197.77663368539456
2020-09-30,218.68196314397005,223.55281800574704,217.49199108303077,220.67320098876957,306297800,220.20568225097657,183.34946452331545,0.007767250069098397,0.025515739519045632,0.40504980771178545,219.82291633605956,239.63435198925075,200.01148068286838
2020-10-01,223.68752467178464,229.27315032615857,222.3118711621426,228.2474792480469,276605900,220.54850518798827,183.76603242492675,0.03432350745509316,0.026194064949626672,0.41581789009551484,218.80170600891114,233.89583883970533,203.70757317811695
2020-10-02,223.23760335577143,227.1061430418431,219.52921842278224,220.00995788574215,310634800,220.85388079833984,184.12875843811034,-0.03609030596720253,0.026735197710319653,0.4244081063618956,217.98039260864257,230.6228314571589,205.33795376012625
2020-10-05,221.65904946274597,226.3470692846833,220.2231728002866,226.15426483154295,220262200,221.27629885864258,184.5134397354126,0.027927403854109745,0.027225670431676143,0.4321941194353177,217.70663291931155,229.2980524501699,206.11521338845318
2020-10-06,224.62695926589092,226.365992783891,219.28684122831567,220.0487075805664,312228100,221.4827067565918,184.85192762756344,-0.02699731201409994,0.02768064820705635,0.4394166677096223,217.51314079284666,228.7929634537639,206.23331813192942
2020-10-07,223.3008602985004,228.11866427332384,221.6112156476492,227.11074676513672,250267100,221.89450747680664,185.22149527740478,0.032093072766558706,0.028232958197456037,0.44818431699690653,217.6006996154785,229.16068185674433,206.04071737421268
2020-10-08,227.78225203433217,229.3913770685769,224.97397137160476,227.82703094482423,194734500,222.30661590576173,185.59716670227053,0.0031538982187762077,0.02419633854379351,0.3841049665512262,218.0697881317139,230.50252368354202,205.63705257988576
2020-10-09,229.53466634181467,232.18353323416068,228.25129690766207,231.1127197265625,250520000,222.7632565307617,185.99065295410156,0.01442185665200535,0.023810315068952266,0.37797703386324866,218.75332862854006,232.4769204504085,205.02973680667162
2020-10-12,235.63810454900613,241.1830199670936,232.7185932309725,236.9803451538086,499265200,223.1970121459961,186.40515593719482,0.025388587154304254,0.02428159723169859,0.3854584062630533,219.76990806579587,235.67572859250063,203.86408753909112
2020-10-13,238.0375477971528,242.10608569847923,234.8185525489904,239.303564453125,439962300,223.64626477050786,186.8348705673218,0.009803426093453194,0.02428565817691808,0.38552287176988503,220.60160430908203,238.730080121697,202.47312849646707
2020-10-14,241.3909615842268,244.2573182226313,234.22813792364423,235.0985244750977,325216800,223.96947552490235,187.25448139190675,-0.017571990570374507,0.02374692719791505,0.3769707826058348,221.51648445129393,240.65598980489617,202.3769790976917
2020-10-15,233.6875049324736,236.50225147209463,230.557329280998,233.75895080566409,268766400,224.28290554809573,187.66575286865233,-0.0056979246144758244,0.023733608255347996,0.37675935094728213,222.65204627990724,241.87109373337412,203.43299882644035
2020-10-16,235.8220854847817,238.15627298923545,228.96012145494507,230.50509033203124,302045900,224.41504638671876,188.04442865753174,-0.013919725693575469,0.022122330034000298,0.35118110214755915,223.7288975524902,242.11506374520937,205.34273135977102
2020-10-19,232.21513986524036,234.2246799543996,226.32160019069727,227.9687057495117,275999800,224.56416134643553,188.4176492462158,-0.011003594666243566,0.021900054015053915,0.3476525797362855,224.5246975708008,242.14477771941893,206.9046174221827
2020-10-20,227.90847659701092,231.839094878287,226.25716156048628,228.73949584960937,285098100,224.79361749267576,188.77711525726318,0.003381122411356685,0.021000027179498826,0.33336509665530634,225.13937080383297,242.4274106395211,207.85133096814485
2020-10-21,226.22630184581797,229.1449605060985,222.441068802396,223.58881072998048,288526300,225.0429659729004,189.11572596740723,-0.022517690268126445,0.02139950674005363,0.33970663808179463,225.8943250274658,241.34173654207865,210.44691351285297
2020-10-22,225.0958690954614,226.18489389679837,220.28676247456636,222.60547485351563,240457900,225.18776892089846,189.43785388183593,-0.0043979655030786935,0.020625866478328703,0.32742547966128815,226.54298660278323,240.0874784332201,212.99849477234636
2020-10-23,223.6705568943154,225.705351803445,220.97305195496705,224.94546508789065,204917700,225.3409157714844,189.76947679138186,0.01051182697062969,0.020673100092130477,0.32817529003514234,227.07282920837406,239.38147095734516,214.76418745940296
2020-10-26,223.93569284228428,227.78677967437253,219.39620376624083,222.95462036132807,293209700,225.454470703125,190.0982642669678,-0.008850343907954361,0.020738090615976635,0.3292069826171788,227.33027717590335,239.0227515138465,215.6378028379602
2020-10-27,223.94751058520995,226.3324689267359,221.60438197166383,225.56122589111328,223913200,225.61377914428712,190.42382778167723,0.011691193147560064,0.020227332226308885,0.3210989445425747,227.65971908569335,238.71456682557033,216.60487134581638
2020-10-28,222.9949434399145,224.78181259677976,218.0363265088804,218.7554733276367,329992300,225.55661251831054,190.72102244567873,-0.030172528707402724,0.0204140327849634,0.3240627240295947,227.56383270263672,238.90343402815878,216.22423137711465
